symbol,person,pnl_ratio,max_pos,min_pos,cleared_pnl,positions_all,pos_positions,neg_positions,mult_pos,mult_neg
VOLCANIC_ROCK_VOUCHER_10250,Pablo,1.59,173.77,-200.00,2480.91,1555.62,777.81,777.81,16.55,0.21
VOLCANIC_ROCK_VOUCHER_10250,Camilla,8.92,20.21,-200.00,9155.99,1026.86,513.43,513.43,0.02,0.44
VOLCANIC_ROCK_VOUCHER_10250,Penelope,-0.71,106.47,-200.00,-2265.70,3192.17,1596.09,1596.09,1.29,1.14
VOLCANIC_ROCK_VOUCHER_10250,Caesar,1.07,92.02,-200.00,2032.44,1896.38,948.19,948.19,4.91,0.05
VOLCANIC_ROCK_VOUCHER_10500,Pablo,-0.91,111.57,-200.00,-904.50,991.47,495.74,495.74,29.16,0.22
VOLCANIC_ROCK_VOUCHER_10500,Camilla,-0.47,58.94,-200.00,-715.88,1510.27,755.13,755.13,0.05,5.39
VOLCANIC_ROCK_VOUCHER_10500,Penelope,0.80,200.00,-158.30,1151.77,1441.91,720.95,720.95,4.56,5.55
VOLCANIC_ROCK_VOUCHER_10500,Caesar,-0.07,44.80,-200.00,-83.91,1163.46,581.73,581.73,10.03,0.05
VOLCANIC_ROCK_VOUCHER_9500,Pablo,3.15,24.21,-200.00,4962.69,1574.41,787.21,787.21,21.28,0.21
VOLCANIC_ROCK_VOUCHER_9500,Camilla,-2.47,200.00,-37.20,-19666.67,7955.13,3977.56,3977.56,0.14,0.85
VOLCANIC_ROCK_VOUCHER_9500,Penelope,-0.48,68.11,-200.00,-4003.93,8360.40,4180.20,4180.20,0.86,0.80
VOLCANIC_ROCK_VOUCHER_9500,Caesar,8.78,45.95,-200.00,35308.47,4022.36,2011.18,2011.18,6.27,0.10
VOLCANIC_ROCK_VOUCHER_9750,Pablo,-12.73,200.00,-100.64,-23893.70,1876.25,938.13,938.13,10.42,0.26
VOLCANIC_ROCK_VOUCHER_9750,Camilla,-2.41,200.00,-22.09,-18876.78,7824.05,3912.03,3912.03,0.14,0.83
VOLCANIC_ROCK_VOUCHER_9750,Penelope,-0.86,75.18,-200.00,-7494.31,8684.37,4342.19,4342.19,0.89,0.82
VOLCANIC_ROCK_VOUCHER_9750,Caesar,4.75,79.67,-200.00,37086.18,7811.56,3905.78,3905.78,13.56,0.19
VOLCANIC_ROCK,Peter,-7.52,400.00,-309.27,-125923.18,16751.11,8375.55,8375.55,5.82,5.13
VOLCANIC_ROCK,Pablo,-0.82,400.00,-330.33,-10960.77,13366.51,6683.25,6683.25,18.56,17.22
VOLCANIC_ROCK,Caesar,4.72,398.85,-400.00,115880.01,24527.96,12263.98,12263.98,6.07,6.82
