symbol,person,pnl_ratio,pos_rate,max_pos,min_pos,cleared_pnl,positions_all,pos_positions,neg_positions
DJEMBES,Paris,-0.36,0.50,198.00,-24.00,-3008.50,8411.00,4225.00,4186.00
VOLCANIC_ROCK_VOUCHER_10000,Caesar,1.15,0.01,0.00,-20315.00,23897.50,20871.00,226.00,20645.00
VOLCANIC_ROCK_VOUCHER_10000,Camilla,-1.56,0.89,24427.00,0.00,-48326.50,31063.00,27733.00,3330.00
VOLCANIC_ROCK_VOUCHER_10000,Pablo,-0.35,0.01,0.00,-3041.00,-1311.50,3709.00,26.00,3683.00
VOLCANIC_ROCK_VOUCHER_10000,Penelope,-0.84,0.48,71.00,-452.00,-6095.50,7281.00,3477.00,3804.00
VOLCANIC_ROCK_VOUCHER_10250,Caesar,15.36,0.01,0.00,-18763.00,296533.50,19309.00,193.00,19116.00
VOLCANIC_ROCK_VOUCHER_10250,Camilla,-14.89,0.95,22733.00,0.00,-372977.50,25043.00,23888.00,1155.00
VOLCANIC_ROCK_VOUCHER_10250,Pablo,12.51,0.01,0.00,-3033.00,46842.50,3743.00,47.00,3696.00
VOLCANIC_ROCK_VOUCHER_10250,Penelope,1.41,0.47,0.00,-232.00,3703.50,2627.00,1233.00,1394.00
VOLCANIC_ROCK_VOUCHER_10500,Caesar,3.05,0.00,0.00,-11642.00,35817.00,11748.00,58.00,11690.00
VOLCANIC_ROCK_VOUCHER_10500,Camilla,-3.98,0.99,13813.00,0.00,-56048.00,14093.00,13953.00,140.00
VOLCANIC_ROCK_VOUCHER_10500,Pablo,2.65,0.01,0.00,-1708.00,5944.00,2243.00,17.00,2226.00
VOLCANIC_ROCK_VOUCHER_10500,Penelope,0.35,0.55,50.00,-11.00,101.00,288.00,158.00,130.00
VOLCANIC_ROCK_VOUCHER_9500,Caesar,-33.43,0.02,0.00,-19470.00,-675534.50,20205.00,321.00,19884.00
VOLCANIC_ROCK_VOUCHER_9500,Camilla,24.01,0.86,23617.00,0.00,791187.50,32951.00,28272.00,4679.00
VOLCANIC_ROCK_VOUCHER_9500,Pablo,-35.50,0.01,0.00,-3556.00,-132903.00,3744.00,37.00,3707.00
VOLCANIC_ROCK_VOUCHER_9500,Penelope,-1.87,0.48,71.00,-468.00,-18917.00,10098.00,4869.00,5229.00
VOLCANIC_ROCK_VOUCHER_9750,Caesar,-28.83,0.01,0.00,-20133.00,-600045.50,20813.00,288.00,20525.00
VOLCANIC_ROCK_VOUCHER_9750,Camilla,20.96,0.86,24267.00,0.00,706396.50,33695.00,28969.00,4726.00
VOLCANIC_ROCK_VOUCHER_9750,Pablo,-31.54,0.02,0.00,-3376.00,-118768.00,3766.00,90.00,3676.00
VOLCANIC_ROCK_VOUCHER_9750,Penelope,-2.30,0.48,71.00,-523.00,-23383.00,10176.00,4878.00,5298.00
VOLCANIC_ROCK,Caesar,6.86,0.53,257.00,-19.00,26223.00,3820.00,2021.00,1799.00
VOLCANIC_ROCK,Pablo,-1.99,0.48,3.00,-33.00,-1488.00,748.00,360.00,388.00
VOLCANIC_ROCK,Peter,-9.93,0.47,26.00,-220.00,-30500.00,3072.00,1439.00,1633.00
