z,f_z,f_prime,f_z_minus_1,f_z_plus_1,speed_z_minus_1,speed_z,speed_z_plus_1,x_z_minus_1,y_z_minus_1,S_z_minus_1,x_z,y_z,S_z,x_z_plus_1,y_z_plus_1,S_z_plus_1,margin_vs_prev,margin_vs_next,margin_vs_best_neighbor
1,0.13,0.003,0.127,0.133,0.227,0.23,0.233,23,77,118508.89110505834,23,76,118518.53175332799,23,75,118470.32851197978,9.6406482696475,48.203241348208394,9.6406482696475
1,0.131,0.003,0.128,0.134,0.228,0.231,0.234,23,77,119251.2210218207,23,76,119251.22102182073,23,75,119193.37713220288,2.9103830456733704e-11,57.84388961785589,2.9103830456733704e-11
1,0.2,0.004,0.196,0.204,0.296,0.3,0.304,23,77,169729.655361662,23,76,169806.78054781913,23,75,169806.7805478191,77.12518615712179,2.9103830456733704e-11,2.9103830456733704e-11
1,0.201,0.004,0.197,0.205,0.297,0.301,0.305,23,77,170471.98527842437,23,76,170539.46981631187,23,75,170529.8291680422,67.4845378875034,9.640648269676603,9.640648269676603
1,0.202,0.004,0.198,0.206,0.298,0.302,0.306,23,77,171214.31519518676,23,76,171272.15908480462,23,75,171252.8777882653,57.84388961785589,19.281296539324103,19.281296539324103
1,0.203,0.004,0.199,0.207,0.299,0.303,0.307,23,77,171956.64511194912,23,76,172004.84835329733,23,75,171975.92640848836,48.203241348208394,28.921944808971602,28.921944808971602
1,0.204,0.004,0.2,0.208,0.3,0.304,0.308,23,77,172698.97502871152,23,76,172737.53762179002,23,75,172698.97502871146,38.56259307850269,38.562593078560894,38.56259307850269
1,0.205,0.004,0.201,0.209,0.301,0.305,0.309,23,77,173441.30494547388,23,76,173470.22689028276,23,75,173422.02364893456,28.92194480888429,48.203241348208394,28.92194480888429
1,0.206,0.004,0.202,0.21,0.302,0.306,0.31,23,77,174183.63486223624,23,76,174202.91615877548,23,75,174145.07226915765,19.28129653923679,57.84388961782679,19.28129653923679
1,0.207,0.004,0.203,0.211,0.303,0.307,0.311,23,77,174925.96477899863,23,76,174935.60542726822,23,75,174868.12088938075,9.640648269589292,67.48453788747429,9.640648269589292
1,0.208,0.004,0.204,0.212,0.304,0.308,0.312,23,77,175668.29469576094,23,76,175668.29469576097,23,75,175591.16950960385,2.9103830456733704e-11,77.12518615712179,2.9103830456733704e-11
1,0.275,0.005,0.27,0.28,0.37,0.375,0.38,23,77,224662.06920207746,23,76,224758.47568477388,23,75,224758.47568477388,96.40648269641679,0.0,0.0
1,0.276,0.005,0.271,0.281,0.371,0.376,0.381,23,77,225404.39911883982,23,76,225491.16495326662,23,75,225481.524304997,86.76583442679839,9.640648269618396,9.640648269618396
1,0.277,0.005,0.272,0.282,0.372,0.377,0.382,23,77,226146.72903560218,23,76,226223.85422175936,23,75,226204.57292522007,77.12518615718,19.281296539295,19.281296539295
1,0.278,0.005,0.273,0.283,0.373,0.378,0.383,23,77,226889.0589523646,23,76,226956.5434902521,23,75,226927.6215454432,67.4845378875034,28.921944808913395,28.921944808913395
1,0.279,0.005,0.274,0.284,0.374,0.379,0.384,23,77,227631.38886912697,23,76,227689.2327587448,23,75,227650.67016566626,57.84388961782679,38.56259307853179,38.56259307853179
1,0.28,0.005,0.275,0.285,0.375,0.38,0.385,23,77,228373.71878588933,23,76,228421.92202723754,23,75,228373.71878588933,48.203241348208394,48.203241348208394,48.203241348208394
1,0.281,0.005,0.276,0.286,0.376,0.381,0.386,23,77,229116.0487026517,23,76,229154.61129573028,23,75,229096.76740611246,38.56259307859,57.84388961782679,38.56259307859
1,0.282,0.005,0.277,0.287,0.377,0.382,0.387,23,77,229858.37861941406,23,76,229887.30056422303,23,75,229819.81602633552,28.921944808971602,67.4845378875034,28.921944808971602
1,0.283,0.005,0.278,0.288,0.378,0.383,0.388,23,77,230600.70853617648,23,76,230619.98983271577,23,75,230542.86464655865,19.281296539295,77.12518615712179,19.281296539295
1,0.284,0.005,0.279,0.289,0.379,0.384,0.389,23,77,231343.03845293884,23,76,231352.67910120846,23,75,231265.91326678172,9.640648269618396,86.76583442674018,9.640648269618396
1,0.285,0.005,0.28,0.29,0.38,0.385,0.39,23,77,232085.3683697012,23,76,232085.3683697012,23,75,231988.96188700479,0.0,96.40648269641679,0.0
1,0.35,0.006,0.344,0.356,0.444,0.45,0.456,23,77,279594.48304249294,23,76,279710.17082172865,23,75,279710.17082172865,115.68777923571179,0.0,0.0
1,0.351,0.006,0.345,0.357,0.445,0.451,0.457,23,77,280336.8129592553,23,76,280442.8600902214,23,75,280433.2194419518,106.04713096609339,9.640648269618396,9.640648269618396
1,0.352,0.006,0.346,0.358,0.446,0.452,0.458,23,77,281079.14287601766,23,76,281175.54935871414,23,75,281156.26806217484,96.406482696475,19.281296539295,19.281296539295
1,0.353,0.006,0.347,0.359,0.447,0.453,0.459,23,77,281821.4727927801,23,76,281908.2386272068,23,75,281879.3166823979,86.76583442674018,28.921944808913395,28.921944808913395
1,0.354,0.006,0.348,0.36,0.448,0.454,0.46,23,77,282563.80270954245,23,76,282640.92789569957,23,75,282602.36530262104,77.12518615712179,38.56259307853179,38.56259307853179
1,0.355,0.006,0.349,0.361,0.449,0.455,0.461,23,77,283306.1326263048,23,76,283373.6171641923,23,75,283325.41392284405,67.4845378875034,48.2032413482666,48.2032413482666
1,0.356,0.006,0.35,0.362,0.45,0.456,0.462,23,77,284048.4625430672,23,76,284106.30643268506,23,75,284048.4625430672,57.843889617885,57.843889617885,57.843889617885
1,0.357,0.006,0.351,0.363,0.451,0.457,0.463,23,77,284790.79245982954,23,76,284838.9957011778,23,75,284771.51116329024,48.2032413482666,67.4845378875616,48.2032413482666
1,0.358,0.006,0.352,0.364,0.452,0.458,0.464,23,77,285533.12237659196,23,76,285571.6849696705,23,75,285494.55978351337,38.56259307853179,77.12518615712179,38.56259307853179
1,0.359,0.006,0.353,0.365,0.453,0.459,0.465,23,77,286275.4522933543,23,76,286304.37423816323,23,75,286217.60840373643,28.921944808913395,86.76583442679839,28.921944808913395
1,0.36,0.006,0.354,0.366,0.454,0.46,0.466,23,77,287017.7822101167,23,76,287037.063506656,23,75,286940.6570239595,19.281296539295,96.406482696475,19.281296539295
1,0.361,0.006,0.355,0.367,0.455,0.461,0.467,23,77,287760.11212687904,23,76,287769.75277514866,23,75,287663.7056441826,9.640648269618396,106.04713096603518,9.640648269618396
1,0.362,0.006,0.356,0.368,0.456,0.462,0.468,23,77,288502.4420436414,23,76,288502.4420436414,23,75,288386.7542644057,0.0,115.68777923571179,0.0
1,0.425,0.007,0.418,0.432,0.518,0.525,0.532,23,77,334526.8968829085,23,76,334661.8659586835,23,75,334661.8659586835,134.9690757750068,0.0,0.0
1,0.426,0.007,0.419,0.433,0.519,0.526,0.533,23,77,335269.22679967084,23,76,335394.5552271762,23,75,335384.91457890655,125.32842750538839,9.640648269676603,9.640648269676603
1,0.427,0.007,0.42,0.434,0.52,0.527,0.534,23,77,336011.5567164332,23,76,336127.2444956689,23,75,336107.9631991297,115.68777923571179,19.28129653923679,19.28129653923679
1,0.428,0.007,0.421,0.435,0.521,0.528,0.535,23,77,336753.8866331956,23,76,336859.93376416166,23,75,336831.01181935275,106.04713096603518,28.921944808913395,28.921944808913395
1,0.429,0.007,0.422,0.436,0.522,0.529,0.536,23,77,337496.216549958,23,76,337592.6230326544,23,75,337554.0604395759,96.40648269641679,38.56259307853179,38.56259307853179
1,0.43,0.007,0.423,0.437,0.523,0.53,0.537,23,77,338238.54646672035,23,76,338325.31230114715,23,75,338277.10905979894,86.76583442679839,48.203241348208394,48.203241348208394
1,0.431,0.007,0.424,0.438,0.524,0.531,0.538,23,77,338980.8763834827,23,76,339058.0015696399,23,75,339000.157680022,77.12518615718,57.843889617885,57.843889617885
1,0.432,0.007,0.425,0.439,0.525,0.532,0.539,23,77,339723.2063002451,23,76,339790.6908381326,23,75,339723.20630024513,67.4845378875034,67.48453788744519,67.48453788744519
1,0.433,0.007,0.426,0.44,0.526,0.533,0.54,23,77,340465.5362170075,23,76,340523.3801066253,23,75,340446.25492046814,57.84388961782679,77.12518615718,57.84388961782679
1,0.434,0.007,0.427,0.441,0.527,0.534,0.541,23,77,341207.86613376986,23,76,341256.06937511807,23,75,341169.30354069127,48.203241348208394,86.76583442679839,48.203241348208394
1,0.435,0.007,0.428,0.442,0.528,0.535,0.542,23,77,341950.1960505322,23,76,341988.7586436108,23,75,341892.35216091434,38.56259307859,96.406482696475,38.56259307859
1,0.436,0.007,0.429,0.443,0.529,0.536,0.543,23,77,342692.5259672946,23,76,342721.44791210355,23,75,342615.40078113746,28.921944808971602,106.04713096609339,28.921944808971602
1,0.437,0.007,0.43,0.444,0.53,0.537,0.544,23,77,343434.85588405695,23,76,343454.13718059624,23,75,343338.4494013605,19.281296539295,115.68777923571179,19.281296539295
1,0.438,0.007,0.431,0.445,0.531,0.538,0.545,23,77,344177.18580081937,23,76,344186.826449089,23,75,344061.4980215836,9.640648269618396,125.32842750538839,9.640648269618396
1,0.439,0.007,0.432,0.446,0.532,0.539,0.546,23,77,344919.51571758173,23,76,344919.51571758173,23,75,344784.5466418067,0.0,134.9690757750068,0.0
1,0.5,0.008,0.492,0.508,0.592,0.6,0.608,23,77,389459.31072332396,23,76,389613.56109563826,23,75,389613.5610956382,154.25037231430179,5.820766091346741e-11,5.820766091346741e-11
1,0.501,0.008,0.493,0.509,0.593,0.601,0.609,23,77,390201.6406400863,23,76,390346.25036413094,23,75,390336.60971586127,144.60972404462518,9.640648269676603,9.640648269676603
1,0.502,0.008,0.494,0.51,0.594,0.602,0.61,23,77,390943.9705568487,23,76,391078.9396326237,23,75,391059.6583360844,134.9690757750068,19.281296539295,19.281296539295
1,0.503,0.008,0.495,0.511,0.595,0.603,0.611,23,77,391686.3004736111,23,76,391811.62890111643,23,75,391782.70695630746,125.32842750533018,28.921944808971602,28.921944808971602
1,0.504,0.008,0.496,0.512,0.596,0.604,0.612,23,77,392428.63039037347,23,76,392544.3181696092,23,75,392505.7555765306,115.68777923571179,38.56259307859,38.56259307859
1,0.505,0.008,0.497,0.513,0.597,0.605,0.613,23,77,393170.9603071358,23,76,393277.0074381019,23,75,393228.80419675366,106.04713096609339,48.2032413482666,48.2032413482666
1,0.506,0.008,0.498,0.514,0.598,0.606,0.614,23,77,393913.2902238982,23,76,394009.69670659455,23,75,393951.8528169767,96.40648269635858,57.84388961782679,57.84388961782679
1,0.507,0.008,0.499,0.515,0.599,0.607,0.615,23,77,394655.62014066055,23,76,394742.3859750873,23,75,394674.90143719985,86.76583442674018,67.48453788744519,67.48453788744519
1,0.508,0.008,0.5,0.516,0.6,0.608,0.616,23,77,395397.950057423,23,76,395475.07524358004,23,75,395397.9500574229,77.12518615706358,77.12518615712179,77.12518615706358
1,0.509,0.008,0.501,0.517,0.601,0.609,0.617,23,77,396140.27997418534,23,76,396207.7645120728,23,75,396120.99867764604,67.48453788744519,86.76583442674018,67.48453788744519
1,0.51,0.008,0.502,0.518,0.602,0.61,0.618,23,77,396882.6098909477,23,76,396940.4537805655,23,75,396844.0472978691,57.84388961782679,96.40648269641679,57.84388961782679
1,0.511,0.008,0.503,0.519,0.603,0.611,0.619,23,77,397624.93980771006,23,76,397673.1430490582,23,75,397567.0959180922,48.203241348150186,106.04713096603518,48.203241348150186
1,0.512,0.008,0.504,0.52,0.604,0.612,0.62,23,77,398367.2697244724,23,76,398405.83231755096,23,75,398290.1445383153,38.56259307853179,115.68777923565358,38.56259307853179
1,0.513,0.008,0.505,0.521,0.605,0.613,0.621,23,77,399109.59964123485,23,76,399138.5215860437,23,75,399013.1931585384,28.921944808855187,125.32842750533018,28.921944808855187
1,0.514,0.008,0.506,0.522,0.606,0.614,0.622,23,77,399851.92955799715,23,76,399871.21085453645,23,75,399736.2417787615,19.281296539295,134.96907577494858,19.281296539295
1,0.515,0.008,0.507,0.523,0.607,0.615,0.623,23,77,400594.2594747595,23,76,400603.9001230292,23,75,400459.29039898457,9.640648269676603,144.60972404462518,9.640648269676603
1,0.516,0.008,0.508,0.524,0.608,0.616,0.624,23,77,401336.5893915219,23,76,401336.58939152193,23,75,401182.3390192077,5.820766091346741e-11,154.25037231424358,5.820766091346741e-11
1,0.576,0.009,0.567,0.585,0.667,0.676,0.685,23,77,445134.0544805018,23,76,445297.9455010857,23,75,445288.30485281604,163.89102058392018,9.640648269676603,9.640648269676603
1,0.577,0.009,0.568,0.586,0.668,0.677,0.686,23,77,445876.38439726416,23,76,446030.6347695784,23,75,446011.3534730391,154.25037231424358,19.281296539295,19.281296539295
1,0.578,0.009,0.569,0.587,0.669,0.678,0.687,23,77,446618.7143140266,23,76,446763.3240380712,23,75,446734.40209326224,144.60972404462518,28.921944808971602,28.921944808971602
1,0.579,0.009,0.57,0.588,0.67,0.679,0.688,23,77,447361.04423078895,23,76,447496.0133065639,23,75,447457.45071348525,134.96907577494858,38.562593078648206,38.562593078648206
1,0.58,0.009,0.571,0.589,0.671,0.68,0.689,23,77,448103.3741475513,23,76,448228.70257505664,23,75,448180.49933370843,125.32842750533018,48.203241348208394,48.203241348208394
1,0.581,0.009,0.572,0.59,0.672,0.681,0.69,23,77,448845.7040643136,23,76,448961.3918435493,23,75,448903.54795393144,115.68777923571179,57.843889617885,57.843889617885
1,0.582,0.009,0.573,0.591,0.673,0.682,0.691,23,77,449588.033981076,23,76,449694.0811120421,23,75,449626.5965741546,106.0471309661516,67.4845378875034,67.4845378875034
1,0.583,0.009,0.574,0.592,0.674,0.683,0.692,23,77,450330.3638978384,23,76,450426.7703805348,23,75,450349.64519437763,96.40648269641679,77.12518615718,77.12518615718
1,0.584,0.009,0.575,0.593,0.675,0.684,0.693,23,77,451072.69381460076,23,76,451159.4596490276,23,75,451072.69381460076,86.7658344268566,86.7658344268566,86.7658344268566
1,0.585,0.009,0.576,0.594,0.676,0.685,0.694,23,77,451815.0237313632,23,76,451892.14891752024,23,75,451795.7424348238,77.12518615706358,96.40648269641679,77.12518615706358
1,0.586,0.009,0.577,0.595,0.677,0.686,0.695,23,77,452557.3536481255,23,76,452624.83818601293,23,75,452518.79105504695,67.48453788744519,106.04713096597698,67.48453788744519
1,0.587,0.009,0.578,0.596,0.678,0.687,0.696,23,77,453299.6835648879,23,76,453357.52745450573,23,75,453241.83967527,57.84388961782679,115.68777923571179,57.84388961782679
1,0.588,0.009,0.579,0.597,0.679,0.688,0.697,23,77,454042.01348165027,23,76,454090.2167229984,23,75,453964.88829549315,48.203241348150186,125.32842750527197,48.203241348150186
1,0.589,0.009,0.58,0.598,0.68,0.689,0.698,23,77,454784.3433984127,23,76,454822.9059914912,23,75,454687.9369157162,38.56259307853179,134.9690757750068,38.56259307853179
1,0.59,0.009,0.581,0.599,0.681,0.69,0.699,23,77,455526.673315175,23,76,455555.5952599839,23,75,455410.98553593934,28.921944808913395,144.60972404456697,28.921944808913395
1,0.591,0.009,0.582,0.6,0.682,0.691,0.7,23,77,456269.0032319374,23,76,456288.28452847665,23,75,456134.03415616235,19.28129653923679,154.25037231430179,19.28129653923679
1,0.592,0.009,0.583,0.601,0.683,0.692,0.701,23,77,457011.3331486997,23,76,457020.97379696934,23,75,456857.08277638553,9.640648269618396,163.89102058380377,9.640648269618396
1,0.65,0.01,0.64,0.66,0.74,0.75,0.76,23,77,499324.1384041549,23,76,499516.95136954775,23,75,499516.95136954775,192.81296539283358,0.0,0.0
1,0.651,0.01,0.641,0.661,0.741,0.751,0.761,23,77,500066.46832091734,23,76,500249.6406380405,23,75,500239.99998977093,183.17231712315697,9.640648269560188,9.640648269560188
1,0.652,0.01,0.642,0.662,0.742,0.752,0.762,23,77,500808.79823767964,23,76,500982.32990653324,23,75,500963.048609994,173.53166885359678,19.28129653923679,19.28129653923679
1,0.653,0.01,0.643,0.663,0.743,0.753,0.763,23,77,501551.12815444206,23,76,501715.019175026,23,75,501686.09723021707,163.89102058392018,28.921944808913395,28.921944808913395
1,0.654,0.01,0.644,0.664,0.744,0.754,0.764,23,77,502293.45807120437,23,76,502447.7084435187,23,75,502409.14585044014,154.25037231436,38.56259307859,38.56259307859
1,0.655,0.01,0.645,0.665,0.745,0.755,0.765,23,77,503035.7879879668,23,76,503180.3977120115,23,75,503132.1944706632,144.6097240446834,48.2032413482666,48.2032413482666
1,0.656,0.01,0.646,0.666,0.746,0.756,0.766,23,77,503778.1179047292,23,76,503913.0869805042,23,75,503855.2430908864,134.9690757750068,57.84388961782679,57.84388961782679
1,0.657,0.01,0.647,0.667,0.747,0.757,0.767,23,77,504520.44782149163,23,76,504645.77624899696,23,75,504578.29171110934,125.32842750533018,67.48453788761981,67.48453788761981
1,0.658,0.01,0.648,0.668,0.748,0.758,0.768,23,77,505262.77773825394,23,76,505378.4655174896,23,75,505301.3403313325,115.68777923565358,77.12518615706358,77.12518615706358
1,0.659,0.01,0.649,0.669,0.749,0.759,0.769,23,77,506005.10765501636,23,76,506111.15478598245,23,75,506024.3889515556,106.04713096609339,86.7658344268566,86.7658344268566
1,0.66,0.01,0.65,0.67,0.75,0.76,0.77,23,77,506747.43757177866,23,76,506843.8440544751,23,75,506747.43757177866,96.40648269641679,96.40648269641679,96.40648269641679
1,0.661,0.01,0.651,0.671,0.751,0.761,0.771,23,77,507489.7674885411,23,76,507576.53332296794,23,75,507470.4861920017,86.7658344268566,106.0471309662098,86.7658344268566
1,0.662,0.01,0.652,0.672,0.752,0.762,0.772,23,77,508232.0974053034,23,76,508309.22259146057,23,75,508193.5348122249,77.12518615718,115.68777923565358,77.12518615718
1,0.663,0.01,0.653,0.673,0.753,0.763,0.773,23,77,508974.4273220658,23,76,509041.9118599533,23,75,508916.583432448,67.4845378875034,125.32842750533018,67.4845378875034
1,0.664,0.01,0.654,0.674,0.754,0.764,0.774,23,77,509716.7572388281,23,76,509774.60112844605,23,75,509639.63205267105,57.843889617943205,134.9690757750068,57.843889617943205
1,0.665,0.01,0.655,0.675,0.755,0.765,0.775,23,77,510459.08715559053,23,76,510507.2903969387,23,75,510362.6806728941,48.203241348150186,144.60972404456697,48.203241348150186
1,0.666,0.01,0.656,0.676,0.756,0.766,0.776,23,77,511201.41707235295,23,76,511239.97966543154,23,75,511085.7292931173,38.56259307859,154.25037231424358,38.56259307859
1,0.667,0.01,0.657,0.677,0.757,0.767,0.777,23,77,511943.7469891154,23,76,511972.6689339242,23,75,511808.77791334025,28.92194480879698,163.89102058392018,28.92194480879698
1,0.668,0.01,0.658,0.678,0.758,0.768,0.778,23,77,512686.0769058777,23,76,512705.3582024169,23,75,512531.82653356344,19.28129653923679,173.53166885348037,19.28129653923679
1,0.669,0.01,0.659,0.679,0.759,0.769,0.779,23,77,513428.4068226401,23,76,513438.04747090966,23,75,513254.8751537865,9.640648269560188,183.17231712315697,9.640648269560188
1,0.67,0.01,0.66,0.68,0.76,0.77,0.78,23,77,514170.7367394024,23,76,514170.7367394024,23,75,513977.92377400957,0.0,192.81296539283358,0.0
1,0.725,0.011,0.714,0.736,0.814,0.825,0.836,23,77,554256.5522445703,23,76,554468.6465065025,23,75,554468.6465065025,212.09426193218678,0.0,0.0
1,0.726,0.011,0.715,0.737,0.815,0.826,0.837,23,77,554998.8821613329,23,76,555201.3357749953,23,75,555191.6951267256,202.45361366239376,9.640648269676603,9.640648269676603
1,0.727,0.011,0.716,0.738,0.816,0.827,0.838,23,77,555741.2120780952,23,76,555934.025043488,23,75,555914.7437469488,192.81296539283358,19.28129653923679,19.28129653923679
1,0.728,0.011,0.717,0.739,0.817,0.828,0.839,23,77,556483.5419948576,23,76,556666.7143119808,23,75,556637.7923671717,183.17231712315697,28.92194480902981,28.92194480902981
1,0.729,0.011,0.718,0.74,0.818,0.829,0.84,23,77,557225.8719116199,23,76,557399.4035804735,23,75,557360.8409873949,173.53166885359678,38.56259307859,38.56259307859
1,0.73,0.011,0.719,0.741,0.819,0.83,0.841,23,77,557968.2018283823,23,76,558132.0928489662,23,75,558083.889607618,163.89102058392018,48.2032413482666,48.2032413482666
1,0.731,0.011,0.72,0.742,0.82,0.831,0.842,23,77,558710.5317451446,23,76,558864.7821174589,23,75,558806.938227841,154.25037231424358,57.84388961782679,57.84388961782679
1,0.732,0.011,0.721,0.743,0.821,0.832,0.843,23,77,559452.861661907,23,76,559597.4713859516,23,75,559529.9868480641,144.60972404456697,67.4845378875034,67.4845378875034
1,0.733,0.011,0.722,0.744,0.822,0.833,0.844,23,77,560195.1915786694,23,76,560330.1606544444,23,75,560253.0354682873,134.9690757750068,77.12518615706358,77.12518615706358
1,0.734,0.011,0.723,0.745,0.823,0.834,0.845,23,77,560937.5214954318,23,76,561062.8499229371,23,75,560976.0840885104,125.32842750533018,86.76583442674018,86.76583442674018
1,0.735,0.011,0.724,0.746,0.824,0.835,0.846,23,77,561679.8514121941,23,76,561795.5391914299,23,75,561699.1327087334,115.68777923577,96.40648269641679,96.40648269641679
1,0.736,0.011,0.725,0.747,0.825,0.836,0.847,23,77,562422.1813289566,23,76,562528.2284599226,23,75,562422.1813289565,106.04713096597698,106.04713096609339,106.04713096597698
1,0.737,0.011,0.726,0.748,0.826,0.837,0.848,23,77,563164.5112457189,23,76,563260.9177284152,23,75,563145.2299491797,96.40648269630037,115.68777923553716,96.40648269630037
1,0.738,0.011,0.727,0.749,0.827,0.838,0.849,23,77,563906.8411624813,23,76,563993.6069969081,23,75,563868.2785694026,86.76583442674018,125.3284275054466,86.76583442674018
1,0.739,0.011,0.728,0.75,0.828,0.839,0.85,23,77,564649.1710792436,23,76,564726.2962654007,23,75,564591.3271896258,77.12518615706358,134.96907577489037,77.12518615706358
1,0.74,0.011,0.729,0.751,0.829,0.84,0.851,23,77,565391.5009960061,23,76,565458.9855338936,23,75,565314.3758098489,67.4845378875034,144.6097240446834,67.4845378875034
1,0.741,0.011,0.73,0.752,0.83,0.841,0.852,23,77,566133.8309127684,23,76,566191.6748023862,23,75,566037.4244300721,57.84388961782679,154.25037231412716,57.84388961782679
1,0.742,0.011,0.731,0.753,0.831,0.842,0.853,23,77,566876.1608295307,23,76,566924.364070879,23,75,566760.473050295,48.2032413482666,163.89102058392018,48.2032413482666
1,0.743,0.011,0.732,0.754,0.832,0.843,0.854,23,77,567618.4907462931,23,76,567657.0533393717,23,75,567483.5216705182,38.56259307859,173.53166885348037,38.56259307859
1,0.744,0.011,0.733,0.755,0.833,0.844,0.855,23,77,568360.8206630554,23,76,568389.7426078644,23,75,568206.5702907413,28.92194480902981,183.17231712315697,28.92194480902981
1,0.745,0.011,0.734,0.756,0.834,0.845,0.856,23,77,569103.1505798178,23,76,569122.4318763572,23,75,568929.6189109642,19.281296539353207,192.81296539295,19.281296539353207
1,0.746,0.011,0.735,0.757,0.835,0.846,0.857,23,77,569845.4804965802,23,76,569855.1211448499,23,75,569652.6675311874,9.640648269676603,202.45361366251018,9.640648269676603
2,0.048,0.002,0.046,0.05,0.146,0.148,0.15,23,76,56972.633199938646,23,75,57011.19579301721,23,74,57011.19579301721,38.562593078560894,0.0,0.0
2,0.049,0.002,0.047,0.051,0.147,0.149,0.151,23,76,57705.32246843139,23,75,57734.2444132403,23,74,57724.603764970656,28.921944808913395,9.6406482696475,9.6406482696475
2,0.05,0.002,0.048,0.052,0.148,0.15,0.152,23,76,58438.011736924105,23,75,58457.293033463386,23,74,58438.01173692409,19.281296539280447,19.281296539295,19.281296539280447
2,0.051,0.002,0.049,0.053,0.149,0.151,0.153,23,76,59170.701005416835,23,75,59180.34165368647,23,74,59151.41970887754,9.640648269632948,28.921944808927947,9.640648269632948
2,0.122,0.003,0.119,0.125,0.219,0.222,0.225,23,76,110458.94979990795,23,75,110516.7936895258,23,74,110516.7936895258,57.84388961785589,0.0,0.0
2,0.123,0.003,0.12,0.126,0.22,0.223,0.226,23,76,111191.63906840069,23,75,111239.8423097489,23,74,111230.20166147925,48.203241348208394,9.6406482696475,9.6406482696475
2,0.124,0.003,0.121,0.127,0.221,0.224,0.227,23,76,111924.3283368934,23,75,111962.890929972,23,74,111943.60963343267,38.56259307859,19.281296539324103,19.281296539324103
2,0.125,0.003,0.122,0.128,0.222,0.225,0.228,23,76,112657.01760538615,23,75,112685.9395501951,23,74,112657.01760538615,28.9219448089425,28.9219448089425,28.9219448089425
2,0.126,0.003,0.123,0.129,0.223,0.226,0.229,23,76,113389.7068738789,23,75,113408.98817041816,23,74,113370.4255773396,19.281296539265895,38.562593078560894,19.281296539265895
2,0.127,0.003,0.124,0.13,0.224,0.227,0.23,23,76,114122.39614237161,23,75,114132.03679064123,23,74,114083.83354929305,9.640648269618396,48.20324134817929,9.640648269618396
2,0.196,0.004,0.192,0.2,0.292,0.296,0.3,23,76,163945.2663998773,23,75,164022.3915860344,23,74,164022.3915860344,77.12518615712179,0.0,0.0
2,0.197,0.004,0.193,0.201,0.293,0.297,0.301,23,76,164677.95566837004,23,75,164745.4402062575,23,74,164735.79955798786,67.48453788747429,9.6406482696475,9.6406482696475
2,0.198,0.004,0.194,0.202,0.294,0.298,0.302,23,76,165410.64493686278,23,75,165468.4888264806,23,74,165449.2075299413,57.84388961782679,19.281296539295,19.281296539295
2,0.199,0.004,0.195,0.203,0.295,0.299,0.303,23,76,166143.3342053555,23,75,166191.5374467037,23,74,166162.61550189476,48.203241348208394,28.9219448089425,28.9219448089425
2,0.2,0.004,0.196,0.204,0.296,0.3,0.304,23,76,166876.0234738482,23,75,166914.58606692677,23,74,166876.02347384818,38.562593078560894,38.56259307859,38.562593078560894
2,0.201,0.004,0.197,0.205,0.297,0.301,0.305,23,76,167608.71274234095,23,75,167637.63468714987,23,74,167589.43144580163,28.921944808913395,48.2032413482375,28.921944808913395
