mid_price_here,mid_price_there,transportFees,exportTariff,importTariff,sugarPrice,sunlightIndex
669,669.25,1,9.5,-3,202.1885415,60.14
672,671.75,1,9.5,-3,202.2403604,60.14
671,670.75,1,9.5,-3,202.2203605,60.14
670,669.75,1,9.5,-3,202.0049668,60.14
672,671.75,1,9.5,-3,202.1532421,60.15
670,670.25,1,9.5,-3,202.0633821,60.15
671,671.25,1,9.5,-3,202.1118885,60.15
670,670.25,1,9.5,-3,201.916647,60.16
667,667.25,1,9.5,-3,201.9093124,60.16
667,666.75,1,9.5,-3,201.8592995,60.16
665,664.75,1,9.5,-3,201.8242527,60.16
662,662.25,1,9.5,-3,201.7812087,60.16
658,658.25,1,9.5,-3,201.7163404,60.17
660,660.25,1,9.5,-3,202.0199588,60.17
661,661.25,1,9.5,-3,202.1007339,60.17
659,658.75,1,9.5,-3,202.1054599,60.18
658,657.75,1,9.5,-3,201.953379,60.18
655,655.25,1,9.5,-3,201.7121,60.18
654,654.25,1,9.5,-3,201.6999451,60.18
652,651.75,1,9.5,-3,201.60404,60.18
654,653.75,1,9.5,-3,201.7535245,60.19
652,652.25,1,9.5,-3,201.6761958,60.19
652,652.25,1,9.5,-3,201.6195278,60.19
653,652.75,1,9.5,-3,201.8175127,60.2
650,649.75,1,9.5,-3,201.7441317,60.2
646,646.25,1,9.5,-3,201.6919248,60.2
649,648.75,1,9.5,-3,201.8282212,60.2
642.5,644.25,1,9.5,-3,201.5566733,60.2
649,648.75,1,9.5,-3,201.7614683,60.21
647,647.25,1,9.5,-3,201.6277673,60.21
644,643.75,1,9.5,-3,201.4650274,60.21
640,640.25,1,9.5,-3,201.4397834,60.22
640,640.25,1,9.5,-3,201.397478,60.22
637,637.25,1,9.5,-3,201.0821303,60.22
637,636.75,1,9.5,-3,200.9042339,60.22
636,635.75,1,9.5,-3,200.7670526,60.22
637,637.25,1,9.5,-3,200.8964586,60.23
638,637.75,1,9.5,-3,200.9502622,60.23
637,637.25,1,9.5,-3,200.8875582,60.23
638,637.75,1,9.5,-3,201.0662172,60.24
636,637.75,1,9.5,-3,201.3512244,60.24
634,633.75,1,9.5,-3,201.030677,60.24
631,631.25,1,9.5,-3,200.774187,60.24
633,632.75,1,9.5,-3,200.7280403,60.24
628,628.25,1,9.5,-3,200.5391621,60.25
630,628.25,1,9.5,-3,200.5162913,60.25
628,627.75,1,9.5,-3,200.2698192,60.25
626,626.25,1,9.5,-3,200.1148064,60.26
625,624.75,1,9.5,-3,200.1245438,60.26
629,629.25,1,9.5,-3,200.2643671,60.26
626,625.75,1,9.5,-3,199.8987342,60.26
626,625.75,1,9.5,-3,199.5853477,60.26
627,627.25,1,9.5,-3,199.4563614,60.27
625,625.25,1,9.5,-3,199.2634534,60.27
623,623.25,1,9.5,-3,198.8999596,60.27
626,625.75,1,9.5,-3,198.6761188,60.28
623,623.25,1,9.5,-3,198.5130641,60.28
624,624.25,1,9.5,-3,198.3450938,60.28
622,621.75,1,9.5,-3,198.2626115,60.28
622,622.25,1,9.5,-3,198.2097924,60.28
623,623.25,1,9.5,-3,198.5803995,60.29
626,625.75,1,9.5,-3,198.7081364,60.29
622,621.75,1,9.5,-3,198.4906929,60.29
620,619.75,1,9.5,-3,198.3441639,60.3
623,622.75,1,9.5,-3,198.7517315,60.3
626,626.25,1,9.5,-3,198.768909,60.3
628,627.75,1,9.5,-3,199.0155414,60.3
628,628.25,1,9.5,-3,199.0465288,60.3
630,630.25,1,9.5,-3,199.2224555,60.31
627,626.75,1,9.5,-3,199.1238353,60.31
624,624.25,1,9.5,-3,198.8885646,60.31
622,621.75,1,9.5,-3,199.0148932,60.32
621,620.75,1,9.5,-3,198.9672297,60.32
619,619.25,1,9.5,-3,198.7050893,60.32
618,618.25,1,9.5,-3,198.6900698,60.32
619,618.75,1,9.5,-3,198.9549862,60.32
620,619.75,1,9.5,-3,199.0304978,60.33
618,617.75,1,9.5,-3,199.0130177,60.33
619,618.75,1,9.5,-3,198.8641823,60.33
619,619.25,1,9.5,-3,198.9798906,60.34
621,621.25,1,9.5,-3,198.9904448,60.34
622,622.25,1,9.5,-3,199.2387636,60.34
624,624.25,1,9.5,-3,199.2671001,60.34
625,624.75,1,9.5,-3,199.2925307,60.34
626,625.75,1,9.5,-3,199.3780458,60.35
629,628.75,1,9.5,-3,199.550641,60.35
626,626.25,1,9.5,-3,199.1637803,60.35
625,625.25,1,9.5,-3,199.2244499,60.36
626,626.25,1,9.5,-3,199.1764321,60.36
628,628.25,1,9.5,-3,199.4832725,60.36
633,632.75,1,9.5,-3,199.6411126,60.36
633,632.75,1,9.5,-3,199.4760709,60.36
629,629.25,1,9.5,-3,199.3878735,60.37
627,627.25,1,9.5,-3,199.3794464,60.37
630,629.75,1,9.5,-3,199.6536006,60.37
632,632.25,1,9.5,-3,199.9380892,60.38
630,629.75,1,9.5,-3,199.8882607,60.38
630,630.25,1,9.5,-3,199.8700968,60.38
629,628.75,1,9.5,-3,199.7104755,60.38
628,627.75,1,9.5,-3,199.6445379,60.38
630,630.25,1,9.5,-3,199.8771317,60.39
626.5,629.25,1,9.5,-3,199.6419586,60.39
629,628.75,1,9.5,-3,199.6284527,60.39
624,623.75,1,9.5,-3,199.4269636,60.4
624,624.25,1,9.5,-3,199.2998633,60.4
623,623.25,1,9.5,-3,199.1616351,60.4
621,620.75,1,9.5,-3,199.0727188,60.4
622,622.25,1,9.5,-3,199.1045606,60.4
624,625.75,1,9.5,-3,199.3392114,60.41
621,621.25,1,9.5,-3,198.9130178,60.41
621,620.75,1,9.5,-3,198.7198574,60.41
621,620.75,1,9.5,-3,198.9208701,60.42
619,618.75,1,9.5,-3,198.870615,60.42
621,620.75,1,9.5,-3,199.008858,60.42
619,618.75,1,9.5,-3,198.881546,60.42
619,619.25,1,9.5,-3,198.8194829,60.42
615.5,617.75,1,9.5,-3,198.7889671,60.43
613,613.25,1,9.5,-3,198.5912907,60.43
612.5,614.75,1,9.5,-3,198.6151798,60.43
613,614.75,1,9.5,-3,198.5245622,60.44
613,613.25,1,9.5,-3,198.6420533,60.44
611,611.25,1,9.5,-3,198.5986095,60.44
611.5,611.5,1,9.5,-3,198.60796,60.44
613.5,615.25,1,9.5,-3,198.6700481,60.44
611,611.25,1,9.5,-3,198.4129125,60.45
611,611.25,1,9.5,-3,198.1686083,60.45
612,611.75,1,9.5,-3,198.296384,60.45
612,611.75,1,9.5,-3,198.1287647,60.46
613,613.25,1,9.5,-3,198.4697556,60.46
614,614.25,1,9.5,-3,198.6098349,60.46
618,617.75,1,9.5,-3,198.7204109,60.46
618,616.25,1,9.5,-3,198.5695487,60.46
615,616.75,1,9.5,-3,198.8102472,60.47
619,618.75,1,9.5,-3,199.2879493,60.47
612,611.75,1,9.5,-3,199.241027,60.47
613,612.75,1,9.5,-3,199.5457241,60.48
615,614.75,1,9.5,-3,199.5668238,60.48
617,617.25,1,9.5,-3,199.6615573,60.48
617,616.75,1,9.5,-3,199.5831742,60.48
616,615.75,1,9.5,-3,199.6685194,60.48
616,616.25,1,9.5,-3,199.6413552,60.49
618,618.25,1,9.5,-3,199.7653751,60.49
619,619.25,1,9.5,-3,199.7901726,60.49
620,619.75,1,9.5,-3,199.8944181,60.5
612.5,614.75,1,9.5,-3,199.8818685,60.5
616,616.25,1,9.5,-3,199.9841394,60.5
619,618.75,1,9.5,-3,200.191513,60.5
620,619.75,1,9.5,-3,200.3788849,60.5
620,620.25,1,9.5,-3,200.4433552,60.51
619,618.75,1,9.5,-3,200.3103115,60.51
616,616.25,1,9.5,-3,200.2917416,60.51
616,616.25,1,9.5,-3,200.2833069,60.52
617,617.25,1,9.5,-3,200.0188682,60.52
617.5,617.5,1,9.5,-3,199.7016417,60.52
622,621.75,1,9.5,-3,199.7863472,60.52
619,618.75,1,9.5,-3,199.88589,60.52
620,620.25,1,9.5,-3,200.0455986,60.53
620,619.75,1,9.5,-3,199.8165744,60.53
619,619.25,1,9.5,-3,199.9074512,60.53
622,622.25,1,9.5,-3,199.9757414,60.54
623,622.75,1,9.5,-3,200.2215511,60.54
619,619.25,1,9.5,-3,199.9908838,60.54
615.5,617.25,1,9.5,-3,199.87904,60.54
622,622.25,1,9.5,-3,199.9894309,60.54
623,622.75,1,9.5,-3,199.9774643,60.55
622,621.75,1,9.5,-3,199.6822011,60.55
619,619.25,1,9.5,-3,199.5305735,60.55
618,618.25,1,9.5,-3,199.7216824,60.56
617,616.75,1,9.5,-3,199.540654,60.56
612,611.75,1,9.5,-3,199.458437,60.56
616.5,614.25,1,9.5,-3,199.4823895,60.56
621,620.75,1,9.5,-3,199.5913112,60.56
622,622.25,1,9.5,-3,199.3214301,60.57
624,624.25,1,9.5,-3,199.3517873,60.57
623,623.25,1,9.5,-3,199.2596488,60.57
620,619.75,1,9.5,-3,199.207634,60.58
619,618.75,1,9.5,-3,199.1621888,60.58
618,617.75,1,9.5,-3,199.2254973,60.58
623,623.25,1,9.5,-3,199.3635323,60.58
622,622.25,1,9.5,-3,199.3144905,60.58
619,619.25,1,9.5,-3,199.475061,60.59
618,618.25,1,9.5,-3,199.2930616,60.59
617,616.75,1,9.5,-3,199.3398837,60.59
615,614.75,1,9.5,-3,199.1429898,60.6
613,613.25,1,9.5,-3,199.2777497,60.6
611,611.25,1,9.5,-3,199.1135629,60.6
609,609.25,1,9.5,-3,198.7684712,60.6
611,610.75,1,9.5,-3,198.9064744,60.6
613,612.75,1,9.5,-3,199.2679368,60.61
612,611.75,1,9.5,-3,199.2516379,60.61
607,607.25,1,9.5,-3,198.9806658,60.61
605,604.75,1,9.5,-3,198.7359176,60.62
602,602.25,1,9.5,-3,198.7398017,60.62
599,599.25,1,9.5,-3,198.6073374,60.62
600,599.75,1,9.5,-3,198.722888,60.62
599,598.75,1,9.5,-3,198.7805267,60.62
603,602.75,1,9.5,-3,199.0591938,60.63
603,603.25,1,9.5,-3,198.8995691,60.63
606,605.75,1,9.5,-3,199.0720452,60.63
601,602.75,1,9.5,-3,198.9643477,60.64
606,605.75,1,9.5,-3,199.2251244,60.64
607,607.25,1,9.5,-3,199.2918793,60.64
608,608.25,1,9.5,-3,199.3504796,60.64
605,605.25,1,9.5,-3,199.0183469,60.64
605.5,605.5,1,9.5,-3,198.9776707,60.65
605.5,605.5,1,9.5,-3,198.8472011,60.65
606,605.75,1,9.5,-3,198.7835269,60.65
605,604.75,1,9.5,-3,198.9840426,60.66
608,608.25,1,9.5,-3,199.4120435,60.66
605,605.25,1,9.5,-3,199.3832668,60.66
607,607.25,1,9.5,-3,199.8087604,60.66
606,605.75,1,9.5,-3,199.720645,60.66
605,604.75,1,9.5,-3,200.0109016,60.67
603,603.25,1,9.5,-3,200.1115156,60.67
601,600.75,1,9.5,-3,199.9829627,60.67
597,597.25,1,9.5,-3,199.8194425,60.68
599,599.25,1,9.5,-3,199.8873998,60.68
600,600.25,1,9.5,-3,199.9163148,60.68
600,599.75,1,9.5,-3,199.9807702,60.68
601,601.25,1,9.5,-3,199.8860492,60.68
601,601.25,1,9.5,-3,199.909715,60.69
601,600.75,1,9.5,-3,200.0379611,60.69
601,600.75,1,9.5,-3,199.6785392,60.69
597,598.75,1,9.5,-3,199.4128512,60.7
600,599.75,1,9.5,-3,199.5697991,60.7
601,601.25,1,9.5,-3,199.5249105,60.7
605,605.25,1,9.5,-3,199.7246303,60.7
604,602.25,1,9.5,-3,199.4931195,60.7
605,604.75,1,9.5,-3,199.6442083,60.71
606,606.25,1,9.5,-3,199.7031921,60.71
609,609.25,1,9.5,-3,199.81915,60.71
613,612.75,1,9.5,-3,199.9836423,60.72
610,609.75,1,9.5,-3,199.9315193,60.72
611,610.75,1,9.5,-3,199.8014665,60.72
610,610.25,1,9.5,-3,199.830997,60.72
614,614.25,1,9.5,-3,200.0692058,60.72
611,611.25,1,9.5,-3,199.8964554,60.73
612,611.75,1,9.5,-3,199.6435141,60.73
609,608.75,1,9.5,-3,199.4805376,60.73
605,605.25,1,9.5,-3,199.1487349,60.74
602,602.25,1,9.5,-3,198.9252173,60.74
606,606.25,1,9.5,-3,199.1454352,60.74
606,606.25,1,9.5,-3,199.3984151,60.74
603,603.25,1,9.5,-3,199.2927064,60.74
602,601.75,1,9.5,-3,199.1470846,60.75
603.5,601.75,1,9.5,-3,199.0173844,60.75
603,603.25,1,9.5,-3,199.0709929,60.75
604,603.75,1,9.5,-3,199.4548452,60.76
603,602.75,1,9.5,-3,199.2946651,60.76
603,603.25,1,9.5,-3,198.9485887,60.76
602,602.25,1,9.5,-3,198.9309115,60.76
599,598.75,1,9.5,-3,198.7627379,60.76
596,596.25,1,9.5,-3,198.5531645,60.77
595,594.75,1,9.5,-3,198.2971532,60.77
590,590.25,1,9.5,-3,198.0105225,60.77
587,587.25,1,9.5,-3,197.9631617,60.78
584,583.75,1,9.5,-3,197.9070857,60.78
584,584,1,9.5,-3,197.8759211,60.78
584,584,1,9.5,-3,197.6734081,60.78
587,587.25,1,9.5,-3,197.7490464,60.78
586,586.25,1,9.5,-3,197.7667246,60.79
591,590.75,1,9.5,-3,198.2263638,60.79
591,590.75,1,9.5,-3,198.2380834,60.79
592,592.25,1,9.5,-3,198.4962387,60.8
595,595.25,1,9.5,-3,198.6656885,60.8
598,597.75,1,9.5,-3,198.7675671,60.8
595,594.75,1,9.5,-3,198.6308068,60.8
593,593.25,1,9.5,-3,198.4547774,60.8
592,591.75,1,9.5,-3,198.2199487,60.81
590,591.75,1,9.5,-3,198.2551255,60.81
596,595.75,1,9.5,-3,198.3560755,60.81
594,594.25,1,9.5,-3,198.3559512,60.82
592,592.25,1,9.5,-3,198.3041064,60.82
591.5,593.25,1,9.5,-3,198.3579818,60.82
594,593.75,1,9.5,-3,198.0485365,60.82
591,591.25,1,9.5,-3,198.0240195,60.82
590,589.75,1,9.5,-3,197.5935047,60.83
594,591.75,1,9.5,-3,197.9100951,60.83
593,593.25,1,9.5,-3,197.9099487,60.83
595,595.25,1,9.5,-3,197.8953718,60.84
593,593.25,1,9.5,-3,197.8833309,60.84
593,592.75,1,9.5,-3,197.6369992,60.84
591,591.25,1,9.5,-3,197.6544585,60.84
590,590.25,1,9.5,-3,197.7488757,60.84
588,587.75,1,9.5,-3,197.7328589,60.85
585,582.75,1,9.5,-3,197.5689992,60.85
581,582.75,1,9.5,-3,197.7762158,60.85
584,583.75,1,9.5,-3,198.1066687,60.86
585,585.25,1,9.5,-3,198.177376,60.86
583,582.75,1,9.5,-3,198.1043253,60.86
585,584.75,1,9.5,-3,198.1663063,60.86
582,581.75,1,9.5,-3,198.1349346,60.86
579,578.75,1,9.5,-3,197.9550658,60.87
579,579.25,1,9.5,-3,197.8625949,60.87
582,581.75,1,9.5,-3,197.8689643,60.87
579,578.75,1,9.5,-3,197.9607836,60.88
580,580.25,1,9.5,-3,198.1568716,60.88
581,581.25,1,9.5,-3,198.459827,60.88
581.5,581.5,1,9.5,-3,198.6495958,60.88
585,585.25,1,9.5,-3,199.098495,60.88
585,584.75,1,9.5,-3,198.738091,60.89
582,582.25,1,9.5,-3,198.6610756,60.89
583,582.75,1,9.5,-3,198.6042633,60.89
584,582.25,1,9.5,-3,198.5196527,60.9
582,582.25,1,9.5,-3,198.6016057,60.9
581,580.75,1,9.5,-3,198.4692578,60.9
578,578.25,1,9.5,-3,198.4012898,60.9
575,575.25,1,9.5,-3,198.1074361,60.9
571.5,573.25,1,9.5,-3,197.8891426,60.91
575,574.75,1,9.5,-3,197.757991,60.91
577,575.25,1,9.5,-3,198.0612875,60.91
577,577.25,1,9.5,-3,198.1104942,60.92
580,579.75,1,9.5,-3,198.3031367,60.92
580,579.75,1,9.5,-3,198.2318534,60.92
581,581.25,1,9.5,-3,198.1932166,60.92
584,583.75,1,9.5,-3,198.2143949,60.92
583,582.75,1,9.5,-3,198.0647966,60.93
582,581.75,1,9.5,-3,198.1367528,60.93
579,579.25,1,9.5,-3,198.1044742,60.93
582,582.25,1,9.5,-3,198.2947586,60.94
583,583.25,1,9.5,-3,198.4288985,60.94
588,588.25,1,9.5,-3,198.5719193,60.94
588,587.75,1,9.5,-3,198.6327882,60.94
585,585.25,1,9.5,-3,198.5193252,60.94
585,584.75,1,9.5,-3,198.4922973,60.95
586,585.75,1,9.5,-3,198.6430572,60.95
585,585.25,1,9.5,-3,198.4962198,60.95
586,584.25,1,9.5,-3,198.5568407,60.96
585,585.25,1,9.5,-3,198.6142917,60.96
587,587.25,1,9.5,-3,198.9074893,60.96
590,590.25,1,9.5,-3,199.3277181,60.96
594,594.25,1,9.5,-3,199.6161021,60.96
594,594.25,1,9.5,-3,199.4024999,60.97
596,595.75,1,9.5,-3,199.4441384,60.97
595,595.25,1,9.5,-3,199.638465,60.97
592,592.25,1,9.5,-3,199.5024422,60.98
590,589.75,1,9.5,-3,199.3572823,60.98
592,592.25,1,9.5,-3,199.5598391,60.98
591,590.75,1,9.5,-3,199.4525571,60.98
593.5,591.75,1,9.5,-3,199.6796922,60.98
594,593.75,1,9.5,-3,199.6896843,60.99
591,591.25,1,9.5,-3,199.8574434,60.99
585,585.25,1,9.5,-3,199.6595634,60.99
585,585.25,1,9.5,-3,199.7176575,61
581,581.25,1,9.5,-3,199.6905778,61
583,582.75,1,9.5,-3,199.6658642,61
581,581.25,1,9.5,-3,199.4582184,61
584,584.25,1,9.5,-3,199.5338677,61
580,580.25,1,9.5,-3,199.0690399,61.01
580,580.25,1,9.5,-3,198.9454821,61.01
578,577.75,1,9.5,-3,198.9031234,61.01
575,573.25,1,9.5,-3,198.5333469,61.02
577,576.75,1,9.5,-3,198.7460517,61.02
581,580.75,1,9.5,-3,198.9058465,61.02
581,579.25,1,9.5,-3,198.7966443,61.02
580,580.25,1,9.5,-3,199.0916965,61.02
582,582.25,1,9.5,-3,199.1090874,61.03
580,579.75,1,9.5,-3,199.0316041,61.03
582,582.25,1,9.5,-3,199.203531,61.03
584,583.75,1,9.5,-3,199.1261728,61.04
579,578.75,1,9.5,-3,198.8890078,61.04
575.5,577.25,1,9.5,-3,198.8547076,61.04
578,578.25,1,9.5,-3,198.9203933,61.04
579,578.75,1,9.5,-3,199.2306731,61.04
578,578.25,1,9.5,-3,198.8734468,61.05
577,576.75,1,9.5,-3,198.6572786,61.05
580,578.25,1,9.5,-3,198.6651016,61.05
579,578.75,1,9.5,-3,198.7908793,61.06
580,580.25,1,9.5,-3,198.7954733,61.06
578,578.25,1,9.5,-3,198.4203013,61.06
577,577.25,1,9.5,-3,198.4698439,61.06
581,580.75,1,9.5,-3,198.8161051,61.06
581,580.75,1,9.5,-3,198.8348267,61.07
582,581.75,1,9.5,-3,199.0599457,61.07
579,579.25,1,9.5,-3,198.981217,61.07
576,576.25,1,9.5,-3,198.8258076,61.08
574,574.25,1,9.5,-3,198.8890183,61.08
574,574.25,1,9.5,-3,198.9453203,61.08
575,574.75,1,9.5,-3,199.240342,61.08
576,576.25,1,9.5,-3,199.2570659,61.08
580,579.75,1,9.5,-3,199.3759462,61.09
575,575.25,1,9.5,-3,199.317457,61.09
576,575.75,1,9.5,-3,199.5676232,61.09
577,576.75,1,9.5,-3,199.6785513,61.1
573,572.75,1,9.5,-3,199.6179631,61.1
574,573.75,1,9.5,-3,199.8459464,61.1
572,571.75,1,9.5,-3,199.5997783,61.1
574,573.75,1,9.5,-3,199.8504832,61.1
571,571.25,1,9.5,-3,199.6197814,61.11
578,577.75,1,9.5,-3,199.7085266,61.11
574,574.25,1,9.5,-3,199.4532629,61.11
576,575.75,1,9.5,-3,199.4217807,61.12
571,570.75,1,9.5,-3,199.0452495,61.12
574,572.25,1,9.5,-3,199.2415615,61.12
568,568.25,1,9.5,-3,199.23901,61.12
571,571.25,1,9.5,-3,199.5306981,61.12
574,574.25,1,9.5,-3,199.8863885,61.13
574,574,1,9.5,-3,199.8370651,61.13
577,576.75,1,9.5,-3,200.2654701,61.13
576.5,578.25,1,9.5,-3,200.525526,61.14
580,579.75,1,9.5,-3,200.6238791,61.14
577.5,579.25,1,9.5,-3,200.5645084,61.14
581,581.25,1,9.5,-3,200.6136266,61.14
580,579.75,1,9.5,-3,200.2895935,61.14
578,578.25,1,9.5,-3,200.3220931,61.15
576,576.25,1,9.5,-3,200.2534161,61.15
578,578.25,1,9.5,-3,200.3426581,61.15
580,580.25,1,9.5,-3,200.5954049,61.16
581,580.75,1,9.5,-3,200.4401853,61.16
577.5,579.25,1,9.5,-3,200.0113767,61.16
583,583.25,1,9.5,-3,200.1638779,61.16
583,582.75,1,9.5,-3,200.1300293,61.16
586.5,588.25,1,9.5,-3,200.216963,61.17
590,589.75,1,9.5,-3,200.4947771,61.17
589,588.75,1,9.5,-3,200.1543824,61.17
591,590.75,1,9.5,-3,200.2467792,61.18
589,589.25,1,9.5,-3,200.1593785,61.18
588,588.25,1,9.5,-3,200.3493596,61.18
582,582.25,1,9.5,-3,200.2527126,61.18
584,583.75,1,9.5,-3,200.4179931,61.18
584,583.75,1,9.5,-3,200.09012,61.19
584,584.25,1,9.5,-3,199.958218,61.19
579.5,581.25,1,9.5,-3,200.0113057,61.19
584,583.75,1,9.5,-3,200.1713632,61.2
581,581.25,1,9.5,-3,200.0072592,61.2
579,579.25,1,9.5,-3,199.8156448,61.2
579,579.25,1,9.5,-3,199.8200486,61.2
582,581.75,1,9.5,-3,200.1539815,61.2
577,579.25,1,9.5,-3,199.9603538,61.21
577,577.25,1,9.5,-3,199.7785451,61.21
576,576.25,1,9.5,-3,199.8116541,61.21
575,575.25,1,9.5,-3,199.6132461,61.22
579,578.75,1,9.5,-3,199.613374,61.22
579,579.25,1,9.5,-3,200.0120958,61.22
582,582.25,1,9.5,-3,200.1370134,61.22
587,586.75,1,9.5,-3,200.4094338,61.22
588,588.25,1,9.5,-3,200.6555397,61.23
590,589.75,1,9.5,-3,200.5416553,61.23
590,589.75,1,9.5,-3,200.1135866,61.23
589,589.25,1,9.5,-3,200.0561723,61.24
590,590.25,1,9.5,-3,199.9247403,61.24
588,587.75,1,9.5,-3,199.4741184,61.24
587,586.75,1,9.5,-3,199.2728196,61.24
586,586.25,1,9.5,-3,199.0894683,61.24
587,587.25,1,9.5,-3,198.9567739,61.25
587,587.25,1,9.5,-3,198.6045265,61.25
586,585.75,1,9.5,-3,198.3711837,61.25
586,585.75,1,9.5,-3,197.976338,61.26
587,586.75,1,9.5,-3,197.8744174,61.26
591,590.75,1,9.5,-3,197.8805002,61.26
590,589.75,1,9.5,-3,197.7512502,61.26
591,590.75,1,9.5,-3,197.8739339,61.26
586,585.75,1,9.5,-3,197.637298,61.27
587,585.25,1,9.5,-3,197.6971169,61.27
585,585.25,1,9.5,-3,197.944326,61.27
584,582.25,1,9.5,-3,197.657572,61.28
582,581.75,1,9.5,-3,197.5483421,61.28
582,581.75,1,9.5,-3,197.5927611,61.28
580.5,582.75,1,9.5,-3,197.6078154,61.28
587,586.75,1,9.5,-3,197.7526214,61.28
585,585.25,1,9.5,-3,197.4924439,61.29
584,584.25,1,9.5,-3,197.4615255,61.29
585,585.25,1,9.5,-3,197.6054819,61.29
587,587.25,1,9.5,-3,197.7157512,61.3
586,586.25,1,9.5,-3,197.64084,61.3
586,585.75,1,9.5,-3,197.4302353,61.3
587,587.25,1,9.5,-3,197.4905949,61.3
587.5,587.5,1,9.5,-3,197.2018998,61.3
584,583.75,1,9.5,-3,197.0570094,61.31
583,582.75,1,9.5,-3,197.0172825,61.31
588,588.25,1,9.5,-3,197.034998,61.31
587,587.25,1,9.5,-3,197.155605,61.32
589,588.75,1,9.5,-3,197.2761719,61.32
587,586.75,1,9.5,-3,197.4790719,61.32
584,584.25,1,9.5,-3,197.1741793,61.32
587,586.75,1,9.5,-3,197.3501056,61.32
589,589.25,1,9.5,-3,197.3936585,61.33
588,587.75,1,9.5,-3,197.3416594,61.33
587,587.25,1,9.5,-3,197.2214848,61.33
586.5,588.25,1,9.5,-3,197.5300244,61.34
587,587.25,1,9.5,-3,197.4130186,61.34
589,588.75,1,9.5,-3,197.372532,61.34
589,587.25,1,9.5,-3,197.1160021,61.34
587,588.75,1,9.5,-3,197.2660398,61.34
588,587.75,1,9.5,-3,197.1487518,61.35
590,590.25,1,9.5,-3,197.308452,61.35
587,586.75,1,9.5,-3,197.0979474,61.35
588,588.25,1,9.5,-3,197.2404563,61.36
587,587.25,1,9.5,-3,197.2859327,61.36
587,586.75,1,9.5,-3,197.2082718,61.36
587,587.25,1,9.5,-3,197.2413977,61.36
589,588.75,1,9.5,-3,197.4336353,61.36
591,590.75,1,9.5,-3,197.1005755,61.37
589.5,589.25,1,9,-3,196.8967498,61.37
589.5,589.5,1,9,-3,196.8860061,61.37
583.5,583.75,1,9,-3,196.7921325,61.38
586.5,586.25,1,9,-3,196.967993,61.38
584.5,584.25,1,9,-3,196.6183546,61.38
585.5,585.75,1,9,-3,196.3863897,61.38
581.5,581.75,1,9,-3,196.2238426,61.38
578.5,578.75,1,9,-3,195.9187357,61.39
582,580.25,1,9,-3,196.0219257,61.39
